time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/value_loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
,190000,,,,,1.6415098839439453,0.2,-0.06937205791473389,920,-0.010602574006770737,0.14921705424785614,0.175048828125,-1.7711933918297291,0.0003,0.01664387,7.3100000000000005,333.4
798,190464,93,2.1585,238,277.73,,,,,,,,,,,,
806,192512,94,2.6325000000000007,238,285.23,1.5518661396112292,0.2,-0.00984334945678711,930,-0.011068269499810412,0.4893006384372711,0.17919921875,-1.5891521994024516,0.0003,0.01834693,,
813,194560,95,3.0581000000000005,239,287.83,2.6204539590515195,0.2,0.29490840435028076,940,-0.010752388954279013,0.6750642657279968,0.1529296875,-1.7604747831821441,0.0003,0.015987212,,
821,196608,96,3.4642,239,288.48,2.2862427625339476,0.2,0.25688672065734863,950,-0.012969553052971605,0.18494796752929688,0.141455078125,-1.6989161539822817,0.0003,0.013541552,,
828,198656,97,3.1587,239,287.9,2.2327340809628367,0.2,0.2642238140106201,960,-0.011534963271697053,1.2363510131835938,0.195166015625,-1.633756437897682,0.0003,0.015923837,,
,200000,,,,,1.3863706363830715,0.2,0.3780229091644287,970,-0.014802817287272774,0.1610192358493805,0.20986328125,-1.5540140252560377,0.0003,0.025776843,2.9539999999999997,297.4
842,200704,98,4.1754999999999995,238,299.67,,,,,,,,,,,,
849,202752,99,4.2556,238,297.69,1.922472121892497,0.2,0.22757256031036377,980,-0.012094090642494847,0.40035220980644226,0.188720703125,-1.624039414152503,0.0003,0.019255621,,
857,204800,100,3.5255000000000005,238,294.61,0.8704476521816105,0.2,0.5173991322517395,990,-0.015124661536538042,0.3265509009361267,0.2146484375,-1.4852862812578678,0.0003,0.026716223,,
864,206848,101,3.6078999999999994,239,292.84,2.0238309716805816,0.2,0.04017370939254761,1000,-0.01181586190359667,1.4702705144882202,0.14033203125,-1.603634075075388,0.0003,0.015668102,,
872,208896,102,4.2654000000000005,239,298.65,2.486076683923602,0.2,0.19941890239715576,1010,-0.0062696175344171936,0.41407087445259094,0.149169921875,-1.66437229514122,0.0003,0.014237231,,
,210000,,,,,1.6497210110537708,0.2,0.2658455967903137,1020,-0.011468371722730807,0.054968543350696564,0.1771484375,-1.7005648478865623,0.0003,0.018268187,-1.8139999999999996,220.2
882,210944,103,4.1378,239,295.88,,,,,,,,,,,,
889,212992,104,4.610200000000001,239,303.16,1.4442216828931123,0.2,0.47927355766296387,1030,-0.010620488828863017,1.112173080444336,0.187939453125,-1.6255785621702672,0.0003,0.02137605,,
897,215040,105,4.8317000000000005,239,305.31,1.91364066246897,0.2,0.3445392847061157,1040,-0.0069591270614182575,0.14903096854686737,0.1587890625,-1.5678337167948484,0.0003,0.0144601725,,
905,217088,106,5.078400000000001,239,299.97,1.8397230460541323,0.2,-0.027107596397399902,1050,-0.013553311026771552,0.405037522315979,0.190771484375,-1.5029772125184535,0.0003,0.01926139,,
912,219136,107,6.1761,240,309.84,1.4063840178772806,0.2,0.45548081398010254,1060,-0.013661960771423764,0.024066172540187836,0.217626953125,-1.556837260350585,0.0003,0.022572154,,
,220000,,,,,1.637198915053159,0.2,0.19351422786712646,1070,-0.0071731718970113436,0.5667635202407837,0.1859375,-1.6081701256334782,0.0003,0.016592935,18.272,430.6
926,221184,108,5.689100000000001,238,301.1,,,,,,,,,,,,
934,223232,109,6.359699999999998,238,308.22,1.5928528744261712,0.2,0.3299099802970886,1080,-0.012952744847279974,0.4769849181175232,0.22216796875,-1.448273777961731,0.0003,0.021997161,,
942,225280,110,7.042199999999999,238,316.53,1.78581074164249,0.2,0.2826678156852722,1090,-0.010123138097696938,0.16912591457366943,0.180712890625,-1.406565834209323,0.0003,0.015443681,,
950,227328,111,6.7369,239,315.97,2.3041079079266638,0.2,0.4333922863006592,1100,-0.008525443846883718,0.38477352261543274,0.1662109375,-1.363416251540184,0.0003,0.013984576,,
957,229376,112,7.1893,239,321.25,2.4682522831484675,0.2,0.17130404710769653,1110,-0.005646372209594119,0.13678525388240814,0.12587890625,-1.3395380295813084,0.0003,0.013126422,,
,230000,,,,,2.1817730465903877,0.2,0.47986865043640137,1120,-0.0031295874709030614,0.29184406995773315,0.138818359375,-1.3881589747965335,0.0003,0.013765336,-5.484,252.8
968,231424,113,7.421500000000001,238,324.47,,,,,,,,,,,,
975,233472,114,7.0676999999999985,239,319.06,1.4239644948625938,0.2,0.3473682403564453,1130,-0.009146155041526072,0.16827887296676636,0.17890625,-1.3952585410326719,0.0003,0.02651072,,
982,235520,115,6.9751,239,319.79,2.5297490382567047,0.2,0.26308828592300415,1140,-0.010464256716659293,0.2586837410926819,0.176416015625,-1.4541863340884447,0.0003,0.017034091,,
991,237568,116,7.4681,239,329.13,1.7395455327350646,0.2,0.48830121755599976,1150,-0.011115567327942699,0.39045339822769165,0.1822265625,-1.3881982073187829,0.0003,0.014909076,,
998,239616,117,7.6022,239,332.57,1.760827219672501,0.2,0.3884775638580322,1160,-0.01200145230977796,0.05913299322128296,0.20283203125,-1.4616360630840064,0.0003,0.021043092,,
,240000,,,,,2.08978676632978,0.2,0.3725309371948242,1170,-0.005770341862807981,0.3073318898677826,0.1462890625,-1.330583706498146,0.0003,0.012414476,3.004,302.4
1010,241664,118,7.494799999999999,239,331.82,,,,,,,,,,,,
